dataid,image,label
0,TrainingBatch1/volume-0.nii,TrainingBatch1/segmentation-0.nii
1,TrainingBatch1/volume-1.nii,TrainingBatch1/segmentation-1.nii
2,TrainingBatch1/volume-2.nii,TrainingBatch1/segmentation-2.nii
3,TrainingBatch1/volume-3.nii,TrainingBatch1/segmentation-3.nii
4,TrainingBatch1/volume-4.nii,TrainingBatch1/segmentation-4.nii
5,TrainingBatch1/volume-5.nii,TrainingBatch1/segmentation-5.nii
6,TrainingBatch1/volume-6.nii,TrainingBatch1/segmentation-6.nii
7,TrainingBatch1/volume-7.nii,TrainingBatch1/segmentation-7.nii
8,TrainingBatch1/volume-8.nii,TrainingBatch1/segmentation-8.nii
9,TrainingBatch1/volume-9.nii,TrainingBatch1/segmentation-9.nii
10,TrainingBatch1/volume-10.nii,TrainingBatch1/segmentation-10.nii
11,TrainingBatch1/volume-11.nii,TrainingBatch1/segmentation-11.nii
12,TrainingBatch1/volume-12.nii,TrainingBatch1/segmentation-12.nii
13,TrainingBatch1/volume-13.nii,TrainingBatch1/segmentation-13.nii
14,TrainingBatch1/volume-14.nii,TrainingBatch1/segmentation-14.nii
15,TrainingBatch1/volume-15.nii,TrainingBatch1/segmentation-15.nii
16,TrainingBatch1/volume-16.nii,TrainingBatch1/segmentation-16.nii
17,TrainingBatch1/volume-17.nii,TrainingBatch1/segmentation-17.nii
18,TrainingBatch1/volume-18.nii,TrainingBatch1/segmentation-18.nii
19,TrainingBatch1/volume-19.nii,TrainingBatch1/segmentation-19.nii
20,TrainingBatch1/volume-20.nii,TrainingBatch1/segmentation-20.nii
21,TrainingBatch1/volume-21.nii,TrainingBatch1/segmentation-21.nii
22,TrainingBatch1/volume-22.nii,TrainingBatch1/segmentation-22.nii
23,TrainingBatch1/volume-23.nii,TrainingBatch1/segmentation-23.nii
24,TrainingBatch1/volume-24.nii,TrainingBatch1/segmentation-24.nii
25,TrainingBatch1/volume-25.nii,TrainingBatch1/segmentation-25.nii
26,TrainingBatch1/volume-26.nii,TrainingBatch1/segmentation-26.nii
27,TrainingBatch1/volume-27.nii,TrainingBatch1/segmentation-27.nii
